Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Months Code,Months,Unit,Value,Flag,Flag Description
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","403","Onions, dry","1992","1992","7021","Annual value","USD","229","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","187","Peas, dry","1992","1992","7021","Annual value","USD","613.7","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","116","Potatoes","1992","1992","7021","Annual value","USD","297.7","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","27","Rice, paddy","1992","1992","7021","Annual value","USD","641.1","*","Unofficial figure"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","826","Tobacco, unmanufactured","1992","1992","7021","Annual value","USD","432.6","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","388","Tomatoes","1992","1992","7021","Annual value","USD","183.2","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","97","Triticale","1992","1992","7021","Annual value","USD","469.4","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","15","Wheat","1992","1992","7021","Annual value","USD","469.4","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","44","Barley","1993","1993","7021","Annual value","USD","201.3","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","176","Beans, dry","1993","1993","7021","Annual value","USD","1272.2","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","181","Broad beans, horse beans, dry","1993","1993","7021","Annual value","USD","552.6","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","191","Chick peas","1993","1993","7021","Annual value","USD","736.8","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","406","Garlic","1993","1993","7021","Annual value","USD","1542.1","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","201","Lentils","1993","1993","7021","Annual value","USD","1081.6","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","56","Maize","1993","1993","7021","Annual value","USD","488.3","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","882","Milk, whole fresh cow","1993","1993","7021","Annual value","USD","514","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","75","Oats","1993","1993","7021","Annual value","USD","218.5","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","403","Onions, dry","1993","1993","7021","Annual value","USD","214.2","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","187","Peas, dry","1993","1993","7021","Annual value","USD","574","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","116","Potatoes","1993","1993","7021","Annual value","USD","278.4","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","826","Tobacco, unmanufactured","1993","1993","7021","Annual value","USD","404.6","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","388","Tomatoes","1993","1993","7021","Annual value","USD","192.8","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","97","Triticale","1993","1993","7021","Annual value","USD","439.1","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","15","Wheat","1993","1993","7021","Annual value","USD","439.1","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","44","Barley","1994","1994","7021","Annual value","USD","171.1","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","176","Beans, dry","1994","1994","7021","Annual value","USD","847.2","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","181","Broad beans, horse beans, dry","1994","1994","7021","Annual value","USD","368","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","191","Chick peas","1994","1994","7021","Annual value","USD","542","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","406","Garlic","1994","1994","7021","Annual value","USD","1026.9","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","201","Lentils","1994","1994","7021","Annual value","USD","720.2","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","56","Maize","1994","1994","7021","Annual value","USD","325.2","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","882","Milk, whole fresh cow","1994","1994","7021","Annual value","USD","513.4","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","75","Oats","1994","1994","7021","Annual value","USD","185.4","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","403","Onions, dry","1994","1994","7021","Annual value","USD","142.6","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","187","Peas, dry","1994","1994","7021","Annual value","USD","382.2","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","116","Potatoes","1994","1994","7021","Annual value","USD","185.4","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","328","Seed cotton","1994","1994","7021","Annual value","USD","1540.3","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","267","Sunflower seed","1994","1994","7021","Annual value","USD","599","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","826","Tobacco, unmanufactured","1994","1994","7021","Annual value","USD","413.3","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","388","Tomatoes","1994","1994","7021","Annual value","USD","128.4","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","97","Triticale","1994","1994","7021","Annual value","USD","292.4","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","15","Wheat","1994","1994","7021","Annual value","USD","292.4","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","515","Apples","1995","1995","7021","Annual value","USD","407.7","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","526","Apricots","1995","1995","7021","Annual value","USD","608.9","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","366","Artichokes","1995","1995","7021","Annual value","USD","153.4","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","44","Barley","1995","1995","7021","Annual value","USD","209.8","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","176","Beans, dry","1995","1995","7021","Annual value","USD","629.4","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","181","Broad beans, horse beans, dry","1995","1995","7021","Annual value","USD","482.6","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","426","Carrots and turnips","1995","1995","7021","Annual value","USD","245.5","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","191","Chick peas","1995","1995","7021","Annual value","USD","954.6","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","1062","Eggs, hen, in shell","1995","1995","7021","Annual value","USD","1594.5","*","Unofficial figure"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","406","Garlic","1995","1995","7021","Annual value","USD","1258.8","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","560","Grapes","1995","1995","7021","Annual value","USD","421.7","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","1182","Honey, natural","1995","1995","7021","Annual value","USD","4756.5","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","497","Lemons and limes","1995","1995","7021","Annual value","USD","346.6","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","201","Lentils","1995","1995","7021","Annual value","USD","629.4","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","56","Maize","1995","1995","7021","Annual value","USD","335.7","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","867","Meat, cattle","1995","1995","7021","Annual value","USD","1678.5","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","977","Meat, sheep","1995","1995","7021","Annual value","USD","1783.4","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","882","Milk, whole fresh cow","1995","1995","7021","Annual value","USD","461.6","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","75","Oats","1995","1995","7021","Annual value","USD","230.8","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","260","Olives","1995","1995","7021","Annual value","USD","230.8","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","403","Onions, dry","1995","1995","7021","Annual value","USD","125.9","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","402","Onions, shallots, green","1995","1995","7021","Annual value","USD","153.4","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","490","Oranges","1995","1995","7021","Annual value","USD","289.3","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","534","Peaches and nectarines","1995","1995","7021","Annual value","USD","287.2","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","521","Pears","1995","1995","7021","Annual value","USD","396.5","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","187","Peas, dry","1995","1995","7021","Annual value","USD","472.1","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","536","Plums and sloes","1995","1995","7021","Annual value","USD","309.5","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","116","Potatoes","1995","1995","7021","Annual value","USD","209.8","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","211","Pulses nes","1995","1995","7021","Annual value","USD","161.6","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","523","Quinces","1995","1995","7021","Annual value","USD","396.5","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","328","Seed cotton","1995","1995","7021","Annual value","USD","1363.7","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","83","Sorghum","1995","1995","7021","Annual value","USD","207.7","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","267","Sunflower seed","1995","1995","7021","Annual value","USD","566.5","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","495","Tangerines, mandarins, clementines, satsumas","1995","1995","7021","Annual value","USD","335.7","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","826","Tobacco, unmanufactured","1995","1995","7021","Annual value","USD","304","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","388","Tomatoes","1995","1995","7021","Annual value","USD","115.4","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","97","Triticale","1995","1995","7021","Annual value","USD","398.6","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","463","Vegetables, fresh nes","1995","1995","7021","Annual value","USD","153.4","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","205","Vetches","1995","1995","7021","Annual value","USD","161.6","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","567","Watermelons","1995","1995","7021","Annual value","USD","127.6","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","15","Wheat","1995","1995","7021","Annual value","USD","398.6","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","44","Barley","1996","1996","7021","Annual value","USD","182.7","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","176","Beans, dry","1996","1996","7021","Annual value","USD","548","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","181","Broad beans, horse beans, dry","1996","1996","7021","Annual value","USD","456.6","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","426","Carrots and turnips","1996","1996","7021","Annual value","USD","246.6","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","191","Chick peas","1996","1996","7021","Annual value","USD","821.9","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","1062","Eggs, hen, in shell","1996","1996","7021","Annual value","USD","1643.9","*","Unofficial figure"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","201","Lentils","1996","1996","7021","Annual value","USD","548","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","945","Meat live weight, cattle","1996","1996","7021","Annual value","USD","2708.5","Ce","Calculated data based on estimated data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","1013","Meat live weight, sheep","1996","1996","7021","Annual value","USD","2767.1","Ce","Calculated data based on estimated data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","1058","Meat, chicken","1996","1996","7021","Annual value","USD","2082.2","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","882","Milk, whole fresh cow","1996","1996","7021","Annual value","USD","401.8","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","75","Oats","1996","1996","7021","Annual value","USD","200.9","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","187","Peas, dry","1996","1996","7021","Annual value","USD","548","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","116","Potatoes","1996","1996","7021","Annual value","USD","219.2","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","826","Tobacco, unmanufactured","1996","1996","7021","Annual value","USD","264.7","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","388","Tomatoes","1996","1996","7021","Annual value","USD","127.9","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","97","Triticale","1996","1996","7021","Annual value","USD","347","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","15","Wheat","1996","1996","7021","Annual value","USD","347","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","44","Barley","1997","1997","7021","Annual value","USD","173.3","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","176","Beans, dry","1997","1997","7021","Annual value","USD","519.9","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","181","Broad beans, horse beans, dry","1997","1997","7021","Annual value","USD","433.2","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","426","Carrots and turnips","1997","1997","7021","Annual value","USD","233.9","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","191","Chick peas","1997","1997","7021","Annual value","USD","779.8","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","1062","Eggs, hen, in shell","1997","1997","7021","Annual value","USD","1871.5","*","Unofficial figure"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","201","Lentils","1997","1997","7021","Annual value","USD","519.9","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","945","Meat live weight, cattle","1997","1997","7021","Annual value","USD","3799.1","Ce","Calculated data based on estimated data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","1013","Meat live weight, sheep","1997","1997","7021","Annual value","USD","1593.2","Ce","Calculated data based on estimated data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","1058","Meat, chicken","1997","1997","7021","Annual value","USD","2044.8","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","882","Milk, whole fresh cow","1997","1997","7021","Annual value","USD","415.9","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","75","Oats","1997","1997","7021","Annual value","USD","190.6","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","187","Peas, dry","1997","1997","7021","Annual value","USD","519.9","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","116","Potatoes","1997","1997","7021","Annual value","USD","219.2","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","388","Tomatoes","1997","1997","7021","Annual value","USD","138.6","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","97","Triticale","1997","1997","7021","Annual value","USD","329.2","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","15","Wheat","1997","1997","7021","Annual value","USD","329.2","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","44","Barley","1998","1998","7021","Annual value","USD","170.2","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","176","Beans, dry","1998","1998","7021","Annual value","USD","510.7","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","181","Broad beans, horse beans, dry","1998","1998","7021","Annual value","USD","425.6","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","191","Chick peas","1998","1998","7021","Annual value","USD","766.1","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","1062","Eggs, hen, in shell","1998","1998","7021","Annual value","USD","1940.8","*","Unofficial figure"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","406","Garlic","1998","1998","7021","Annual value","USD","1015.8","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","201","Lentils","1998","1998","7021","Annual value","USD","510.7","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","945","Meat live weight, cattle","1998","1998","7021","Annual value","USD","3732.3","Ce","Calculated data based on estimated data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","1013","Meat live weight, sheep","1998","1998","7021","Annual value","USD","1565.3","Ce","Calculated data based on estimated data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","1058","Meat, chicken","1998","1998","7021","Annual value","USD","2008.9","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","882","Milk, whole fresh cow","1998","1998","7021","Annual value","USD","442.6","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","75","Oats","1998","1998","7021","Annual value","USD","187.3","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","402","Onions, shallots, green","1998","1998","7021","Annual value","USD","155.3","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","187","Peas, dry","1998","1998","7021","Annual value","USD","510.7","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","116","Potatoes","1998","1998","7021","Annual value","USD","242.3","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","388","Tomatoes","1998","1998","7021","Annual value","USD","144.7","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","97","Triticale","1998","1998","7021","Annual value","USD","323.5","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","15","Wheat","1998","1998","7021","Annual value","USD","323.5","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","44","Barley","1999","1999","7021","Annual value","USD","150.2","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","176","Beans, dry","1999","1999","7021","Annual value","USD","450.6","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","181","Broad beans, horse beans, dry","1999","1999","7021","Annual value","USD","375.5","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","191","Chick peas","1999","1999","7021","Annual value","USD","675.9","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","1062","Eggs, hen, in shell","1999","1999","7021","Annual value","USD","1997.8","*","Unofficial figure"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","406","Garlic","1999","1999","7021","Annual value","USD","1085.4","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","201","Lentils","1999","1999","7021","Annual value","USD","450.6","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","945","Meat live weight, cattle","1999","1999","7021","Annual value","USD","3391.1","Ce","Calculated data based on estimated data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","1013","Meat live weight, sheep","1999","1999","7021","Annual value","USD","1422.1","Ce","Calculated data based on estimated data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","1058","Meat, chicken","1999","1999","7021","Annual value","USD","1772.5","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","882","Milk, whole fresh cow","1999","1999","7021","Annual value","USD","390.5","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","75","Oats","1999","1999","7021","Annual value","USD","165.2","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","402","Onions, shallots, green","1999","1999","7021","Annual value","USD","157.4","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","187","Peas, dry","1999","1999","7021","Annual value","USD","450.6","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","116","Potatoes","1999","1999","7021","Annual value","USD","240.3","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","97","Triticale","1999","1999","7021","Annual value","USD","285.4","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","15","Wheat","1999","1999","7021","Annual value","USD","285.4","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","44","Barley","2000","2000","7021","Annual value","USD","132.9","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","1062","Eggs, hen, in shell","2000","2000","7021","Annual value","USD","1767.2","*","Unofficial figure"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","406","Garlic","2000","2000","7021","Annual value","USD","1162.6","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","945","Meat live weight, cattle","2000","2000","7021","Annual value","USD","2779.7","Ce","Calculated data based on estimated data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","1013","Meat live weight, sheep","2000","2000","7021","Annual value","USD","1165.7","Ce","Calculated data based on estimated data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","75","Oats","2000","2000","7021","Annual value","USD","146.2","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","402","Onions, shallots, green","2000","2000","7021","Annual value","USD","160.1","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","97","Triticale","2000","2000","7021","Annual value","USD","252.5","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","15","Wheat","2000","2000","7021","Annual value","USD","252.5","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","526","Apricots","2001","2001","7021","Annual value","USD","414.4","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","366","Artichokes","2001","2001","7021","Annual value","USD","220.2","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","44","Barley","2001","2001","7021","Annual value","USD","129.5","","Official data"
"PP","Producer Prices","4","Algeria","5532","Producer Price (USD/tonne)","181","Broad beans, horse beans, dry","2001","2001","7021","Annual value","USD","291.4","","Official data"
